CANDIDATE_ID,CANDIDATE_NAME,AGE_GROUP_INDEX,CONSTITUENCY_INDEX,STATE_INDEX,PARTY_INDEX,NO_PENDING_CRIMINAL_CASES,EARNINGS_POINTS,STATE_LITERACY_RATE,STATE_SEAT_SHARE,PARTY_GRP_IDX,EDUCATION_GROUP_IDX,DELTA_STATE_VOTER_TURNOUT,NO_OF_PHASES,RE_CONTEST,SEX_INDEX,VOTING_PERCENTAGE
6928,S. A. INDUMATHI,3,15,2,244,0,0,0.674,0.046,1,3,0.0524,1,0,1,0.0007
6926,K.P. KAMBAGIRISWAMY,3,15,2,244,1,0,0.674,0.046,1,1,0.0524,1,0,0,0.0006
6915,RUDDIREDDY RADHAKRISHNA,4,15,2,23,0,0,0.674,0.046,2,0,0.0524,1,0,0,0.0005
4720,ELLURI BHUPAL,4,15,2,244,0,0,0.674,0.046,1,3,0.0524,1,0,0,0.0005
6918,D. MAHAMMAD RAFI,5,15,2,93,0,0,0.674,0.046,1,1,0.0524,1,0,0,0.0005
4802,LAVU SRI KRISHNA DEVARAYALU,4,16,2,675,0,0,0.674,0.046,2,3,0.0524,1,0,0,0.5187
4803,RAYAPATI SAMBASIVA RAO,1,16,2,637,0,0,0.674,0.046,2,3,0.0524,1,0,0,0.4115
6300,SHAIK NAYUB KAMAL,2,16,2,288,0,1,0.674,0.046,1,2,0.0524,1,0,0,0.0355
5044,KANNA LAKSHMI NARAYANA,1,16,2,187,0,0,0.674,0.046,3,3,0.0524,1,0,0,0.0108
6297,PAKKALA SURIBABU,1,16,2,243,1,1,0.674,0.046,3,4,0.0524,1,0,0,0.0077
4801,ALLU VENKATA REDDY,3,16,2,454,0,1,0.674,0.046,1,3,0.0524,1,0,0,0.002
6298,DURGAMPUDI RAMI REDDY,1,16,2,244,0,0,0.674,0.046,1,0,0.0524,1,0,0,0.0019
6302,REDDYBOINA PRASANNA KUMAR,2,16,2,244,0,0,0.674,0.046,1,0,0.0524,1,0,0,0.001
6301,NARASIMHARAO PARIMI,4,16,2,244,1,0,0.674,0.046,1,0,0.0524,1,0,0,0.0007
6304,KANAKAM SRINIVASARAO,3,16,2,388,0,0,0.674,0.046,1,1,0.0524,1,0,0,0.0006
6303,GADDALA VENU,5,16,2,244,0,0,0.674,0.046,1,3,0.0524,1,0,0,0.0004
6299,SURABHI DEVASAHAYAM,3,16,2,260,0,0,0.674,0.046,2,0,0.0524,1,0,0,0.0003
5043,KANTE SAYANNA,3,16,2,244,0,0,0.674,0.046,1,3,0.0524,1,0,0,0.0003
4681,KANUMURU RAGHU RAMA KRISHNA RAJU,2,17,2,675,3,0,0.674,0.046,2,4,0.0524,1,0,0,0.3814
5034,VENKATA SIVARAMA RAJU VETUKURI,3,17,2,637,1,0,0.674,0.046,2,3,0.0524,1,0,0,0.3537
5035,NAGABABU KONIDELA,2,17,2,288,0,0,0.674,0.046,1,3,0.0524,1,0,0,0.213
6236,KANUMURU BAPIRAJU,1,17,2,243,1,0,0.674,0.046,3,1,0.0524,1,0,0,0.0118
5033,PYDIKONDALA MANIKYALA RAO,2,17,2,187,3,0,0.674,0.046,3,2,0.0524,1,0,0,0.0105
4789,YELLA VENUGOPAL RAO,1,17,2,399,0,0,0.674,0.046,1,4,0.0524,1,0,0,0.0036
6237,G S RAJU,2,17,2,618,0,0,0.674,0.046,2,1,0.0524,1,0,0,0.0029
6239,K.A.PAUL,2,17,2,437,2,0,0.674,0.046,1,2,0.0524,1,0,0,0.0026
